#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	HUM0038_S10_R1_001d_bacterial_metagenome	HUM0041_S14_R1_001d_bacterial_metagenome	HUM0042_S1_R1_001d_bacterial_metagenome	HUM0148_S21_R1_001d_bacterial_metagenome	HUM0149_S28_R1_001d_bacterial_metagenome	HUM0152_S5_R1_001d_bacterial_metagenome	HUM0233_S187_R1_001d_bacterial_metagenome	HUM0235_S45_R1_001d_bacterial_metagenome	HUM0322_S282_R1_001d_bacterial_metagenome	HUM0324_S20_R1_001d_bacterial_metagenome	HUM0329_S27_R1_001d_bacterial_metagenome	HUM0439_S41_R1_001d_bacterial_metagenome	HUM0442_S283_R1_001d_bacterial_metagenome	HUM0444_S50_R1_001d_bacterial_metagenome	HUM0493_S42_R1_001d_bacterial_metagenome	HUM0495_S7_R1_001d_bacterial_metagenome	HUM0496_S6_R1_001d_bacterial_metagenome	HUM0579_S34_R1_001d_bacterial_metagenome	HUM0582_S39_R1_001d_bacterial_metagenome	HUM0583_S186_R1_001d_bacterial_metagenome	HUM0603_S36_R1_001d_bacterial_metagenome	HUM0604_S51_R1_001d_bacterial_metagenome	HUM0607_S188_R1_001d_bacterial_metagenome	HUM0738_S189_R1_001d_bacterial_metagenome	HUM0739_S190_R1_001d_bacterial_metagenome	HUM0741_S18_R1_001d_bacterial_metagenome	HUM0812_S25_R1_001d_bacterial_metagenome	HUM0816_S37_R1_001d_bacterial_metagenome	HUM0847_S12_R1_001d_bacterial_metagenome	HUM0851_S16_R1_001d_bacterial_metagenome	HUM0853_S48_R1_001d_bacterial_metagenome	HUM0894_S23_R1_001d_bacterial_metagenome	HUM0896_S30_R1_001d_bacterial_metagenome	HUM0898_S38_R1_001d_bacterial_metagenome	HUM0929_S35_R1_001d_bacterial_metagenome	HUM0931_S40_R1_001d_bacterial_metagenome	HUM0932_S19_R1_001d_bacterial_metagenome	HUM0941_S3_R1_001d_bacterial_metagenome	HUM0946_S8_R1_001d_bacterial_metagenome	HUM0991_S11_R1_001d_bacterial_metagenome	HUM0992_S15_R1_001d_bacterial_metagenome	HUM0994_S9_R1_001d_bacterial_metagenome	HUM1014_S22_R1_001d_bacterial_metagenome	HUM1017_S29_R1_001d_bacterial_metagenome	HUM1019_S191_R1_001d_bacterial_metagenome	HUMO546_S16_R1_001d_bacterial_metagenome	HUMO581_S18_R1_001d_bacterial_metagenome	HUMO587_S20_R1_001d_bacterial_metagenome	HUMO609_S56_R1_001d_bacterial_metagenome	HUMO624_S22_R1_001d_bacterial_metagenome	HUMO668_S24_R1_001d_bacterial_metagenome	HUMO678_S60_R1_001d_bacterial_metagenome	HUMO681_S26_R1_001d_bacterial_metagenome	HUMO749_S28_R1_001d_bacterial_metagenome	HUMO752_S30_R1_001d_bacterial_metagenome	HUMO756_S58_R1_001d_bacterial_metagenome	HUMO767_S32_R1_001d_bacterial_metagenome	HUMO775_S34_R1_001d_bacterial_metagenome	HUMO825_S36_R1_001d_bacterial_metagenome	HUMO829_S38_R1_001d_bacterial_metagenome	HUMO830_S62_R1_001d_bacterial_metagenome	HUMO844_S40_R1_001d_bacterial_metagenome	HUMO846_S54_R1_001d_bacterial_metagenome	HUMO848_S42_R1_001d_bacterial_metagenome	HUMO854_S44_R1_001d_bacterial_metagenome	HUMO865_S46_R1_001d_bacterial_metagenome	HUMO887_S48_R1_001d_bacterial_metagenome	HUMO899_S52_R1_001d_bacterial_metagenome	HUMO902_S50_R1_001d_bacterial_metagenome	LMR0004_S4_R1_001d_bacterial_metagenome	LMR0006_S281_R1_001d_bacterial_metagenome	LMR0007_S17_R1_001d_bacterial_metagenome	LMR0008_S47_R1_001d_bacterial_metagenome	LMR0009_S31_R1_001d_bacterial_metagenome	LMR0011_S49_R1_001d_bacterial_metagenome	LMR0012_S52_R1_001d_bacterial_metagenome	LMR0017_S44_R1_001d_bacterial_metagenome	LMR0021_S13_R1_001d_bacterial_metagenome	LMR0022_S46_R1_001d_bacterial_metagenome	LMR0023_S24_R1_001d_bacterial_metagenome	LMR0024_S32_R1_001d_bacterial_metagenome
k__Bacteria|p__Fusobacteria	0.09352	0.0	0.01035	0.0	0.0	0.0	0.0	0.07676	0.21696	0.0	0.0	0.0	0.0	0.12721	14.33627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00897	0.0	0.0	0.0	0.0	0.00707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteria_unclassified	0.04613	0.00964	0.63729	0.0	0.17006	0.0	0.0	0.30103	0.0	0.0	0.0	0.0	0.0	0.2239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19348	0.0	0.0	0.0	0.00147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54373	0.0	0.06134	0.0	0.0	0.0	0.0	0.0	0.0	0.06896	0.0157	0.0	0.0	0.1528	0.0	0.00469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03315	0.0	0.0	0.00714
k__Bacteria|p__Tenericutes	0.01781	0.0	0.31694	0.60839	0.0	0.0	0.0	2.71193	3.90412	0.33073	0.09882	0.0	0.0	0.0	3.86527	0.39126	0.0	0.0	0.0	0.0	8.94407	0.49732	0.0	0.19258	0.0	0.0	3.05339	2.40206	0.04158	0.50091	0.0	0.0	2.68903	0.0	0.0	3.81386	0.0	0.0	0.0	0.0	0.0	0.36754	1.09016	0.0	0.0	0.15129	0.0	0.03959	6.62956	0.24638	0.0	0.0	0.0	0.10068	0.0	1.4603	0.22602	0.37012	0.56039	18.93813	0.0	9.44938	0.75189	0.0	0.06651	1.15935	0.06515	0.4763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.96437	2.41995	69.01371	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	17.14268	36.9253	20.60681	25.50967	37.45829	5.20566	10.48855	10.24464	20.44106	14.14301	11.36921	0.0	0.0	45.80694	16.06344	25.97244	0.0	40.89965	28.76573	24.93294	16.36201	15.9083	14.31937	20.71818	25.17924	7.48637	3.54834	17.75316	22.93646	31.61078	7.83482	18.56218	29.70468	35.07212	100.0	17.26345	0.0	5.5078	23.17045	0.0	0.0	28.42303	25.14238	21.19016	0.0	44.14969	27.38475	21.6564	33.71856	8.40912	13.51083	12.86106	24.93753	25.69534	32.72458	22.50842	21.39297	29.38381	15.3542	23.53283	36.18812	30.35915	46.43524	20.91778	29.28273	17.77296	10.64597	30.02518	21.86597	0.0	0.0	6.25624	0.072	0.01546	0.0	0.0	0.26311	0.70588	0.53108	0.19832	0.49391
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	17.03393	42.68511	20.55663	51.33632	39.5224	6.39604	76.27406	65.80536	56.0946	67.78787	65.04387	0.0	0.0	30.71991	36.07051	49.12687	100.0	12.97483	43.24895	49.70441	19.18251	21.33739	66.12746	62.39948	38.67435	69.67846	71.37086	63.47124	35.17295	29.6895	3.29678	67.30919	58.70219	50.12246	0.0	56.22807	0.0	94.4922	59.86277	100.0	0.0	57.3817	51.13682	66.83157	0.0	39.59228	40.45569	58.57733	37.9418	66.17324	67.324	73.34249	33.13374	23.74849	54.28653	46.96104	54.71665	37.43551	47.32339	18.92173	39.25267	44.80971	28.41586	57.1399	58.83635	15.34381	50.68073	37.47865	65.81641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30137	3.72101	3.20544	0.0721	0.78994
k__Bacteria|p__Spirochaetes|c__CFGB9016	16.18379	0.0	3.49248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	7.48119	4.78867	3.15348	2.08519	4.69237	13.13797	1.12253	2.38903	3.923	6.26232	4.75875	0.0	0.0	3.34512	1.76099	3.03436	0.0	3.26008	3.69607	4.45471	2.90283	3.34669	1.63377	3.24928	3.82283	0.88538	1.57317	4.16545	2.49308	3.79861	1.19034	2.31812	2.31204	2.79766	0.0	7.58051	0.0	0.0	3.80607	0.0	0.0	1.64114	2.70674	1.23295	0.0	0.91959	2.21226	2.68395	2.72477	5.46857	2.47725	2.77811	4.79113	1.33877	2.54421	2.75796	2.56845	3.8275	3.08999	1.7921	2.49542	1.30562	2.04855	1.60544	1.62737	1.01316	3.57946	1.63771	2.7921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03411	0.12651	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2833	4.3564	0.06416	0.1576	0.0	0.0	0.0	0.0	0.0	0.0	0.00943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13144	0.0	0.00096	0.0	0.0	0.0	0.0	0.0	0.0	0.01251	0.0	0.4454	0.0	0.0	0.0	0.0	0.0	0.00581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18625	0.0	0.05646	0.0	0.0	0.0091	0.10855	0.0	0.0	0.0	0.0	0.0	0.00501	0.0	1.75302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29906	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2947	3.70176	0.0	0.32825	0.0	0.0	0.0	0.0	0.00986	0.0	0.00626	0.0	0.0	0.0	0.0	0.0	0.0118	0.0	0.0	0.01469	0.05191	0.2492	0.10618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10655	0.0	0.0	0.0	0.02128	0.0296	0.29032	0.0	0.0	0.0	0.0	0.38629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__CFGB511	2.71785	0.1993	0.18238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14202	0.0	0.0	0.0	0.0	0.0	0.0	0.03129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.57692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
