#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	HUM0038_S10_R1_001d_bacterial_metagenome	HUM0041_S14_R1_001d_bacterial_metagenome	HUM0042_S1_R1_001d_bacterial_metagenome	HUM0148_S21_R1_001d_bacterial_metagenome	HUM0149_S28_R1_001d_bacterial_metagenome	HUM0152_S5_R1_001d_bacterial_metagenome	HUM0233_S187_R1_001d_bacterial_metagenome	HUM0235_S45_R1_001d_bacterial_metagenome	HUM0322_S282_R1_001d_bacterial_metagenome	HUM0324_S20_R1_001d_bacterial_metagenome	HUM0329_S27_R1_001d_bacterial_metagenome	HUM0439_S41_R1_001d_bacterial_metagenome	HUM0442_S283_R1_001d_bacterial_metagenome	HUM0444_S50_R1_001d_bacterial_metagenome	HUM0493_S42_R1_001d_bacterial_metagenome	HUM0495_S7_R1_001d_bacterial_metagenome	HUM0496_S6_R1_001d_bacterial_metagenome	HUM0579_S34_R1_001d_bacterial_metagenome	HUM0582_S39_R1_001d_bacterial_metagenome	HUM0583_S186_R1_001d_bacterial_metagenome	HUM0603_S36_R1_001d_bacterial_metagenome	HUM0604_S51_R1_001d_bacterial_metagenome	HUM0607_S188_R1_001d_bacterial_metagenome	HUM0738_S189_R1_001d_bacterial_metagenome	HUM0739_S190_R1_001d_bacterial_metagenome	HUM0741_S18_R1_001d_bacterial_metagenome	HUM0812_S25_R1_001d_bacterial_metagenome	HUM0816_S37_R1_001d_bacterial_metagenome	HUM0847_S12_R1_001d_bacterial_metagenome	HUM0851_S16_R1_001d_bacterial_metagenome	HUM0853_S48_R1_001d_bacterial_metagenome	HUM0894_S23_R1_001d_bacterial_metagenome	HUM0896_S30_R1_001d_bacterial_metagenome	HUM0898_S38_R1_001d_bacterial_metagenome	HUM0929_S35_R1_001d_bacterial_metagenome	HUM0931_S40_R1_001d_bacterial_metagenome	HUM0932_S19_R1_001d_bacterial_metagenome	HUM0941_S3_R1_001d_bacterial_metagenome	HUM0946_S8_R1_001d_bacterial_metagenome	HUM0991_S11_R1_001d_bacterial_metagenome	HUM0992_S15_R1_001d_bacterial_metagenome	HUM0994_S9_R1_001d_bacterial_metagenome	HUM1014_S22_R1_001d_bacterial_metagenome	HUM1017_S29_R1_001d_bacterial_metagenome	HUM1019_S191_R1_001d_bacterial_metagenome	HUMO546_S16_R1_001d_bacterial_metagenome	HUMO581_S18_R1_001d_bacterial_metagenome	HUMO587_S20_R1_001d_bacterial_metagenome	HUMO609_S56_R1_001d_bacterial_metagenome	HUMO624_S22_R1_001d_bacterial_metagenome	HUMO668_S24_R1_001d_bacterial_metagenome	HUMO678_S60_R1_001d_bacterial_metagenome	HUMO681_S26_R1_001d_bacterial_metagenome	HUMO749_S28_R1_001d_bacterial_metagenome	HUMO752_S30_R1_001d_bacterial_metagenome	HUMO756_S58_R1_001d_bacterial_metagenome	HUMO767_S32_R1_001d_bacterial_metagenome	HUMO775_S34_R1_001d_bacterial_metagenome	HUMO825_S36_R1_001d_bacterial_metagenome	HUMO829_S38_R1_001d_bacterial_metagenome	HUMO830_S62_R1_001d_bacterial_metagenome	HUMO844_S40_R1_001d_bacterial_metagenome	HUMO846_S54_R1_001d_bacterial_metagenome	HUMO848_S42_R1_001d_bacterial_metagenome	HUMO854_S44_R1_001d_bacterial_metagenome	HUMO865_S46_R1_001d_bacterial_metagenome	HUMO887_S48_R1_001d_bacterial_metagenome	HUMO899_S52_R1_001d_bacterial_metagenome	HUMO902_S50_R1_001d_bacterial_metagenome	LMR0004_S4_R1_001d_bacterial_metagenome	LMR0006_S281_R1_001d_bacterial_metagenome	LMR0007_S17_R1_001d_bacterial_metagenome	LMR0008_S47_R1_001d_bacterial_metagenome	LMR0009_S31_R1_001d_bacterial_metagenome	LMR0011_S49_R1_001d_bacterial_metagenome	LMR0012_S52_R1_001d_bacterial_metagenome	LMR0017_S44_R1_001d_bacterial_metagenome	LMR0021_S13_R1_001d_bacterial_metagenome	LMR0022_S46_R1_001d_bacterial_metagenome	LMR0023_S24_R1_001d_bacterial_metagenome	LMR0024_S32_R1_001d_bacterial_metagenome
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455|f__FGB31455|g__GGB4700|s__GGB4700_SGB6506|t__SGB6506	0.34934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35415	0.02873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified|s__Oscillospiraceae_unclassified_SGB15252|t__SGB15252	0.34579	0.25679	0.00573	0.16243	0.01351	0.0	0.00164	0.0	0.0	0.0	0.0	0.0	0.0	0.01956	0.00226	0.00212	0.0	0.09489	0.0	0.0	0.0	0.00795	0.00802	0.0	0.06306	0.0	0.0	0.0	0.0	0.4473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10418	0.0	0.0	0.0	0.05831	0.0	0.00307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06328	0.0	0.0	0.0	0.00449	0.0	0.03184	0.0	0.0	0.02577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76359|o__OFGB76359|f__FGB76359|g__GGB4690|s__GGB4690_SGB6488|t__SGB6488	0.34225	0.0	0.00469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814	0.3387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36128	0.0	0.13222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3026|o__OFGB3026|f__FGB3026|g__GGB13437|s__GGB13437_SGB14904|t__SGB14904	0.33379	0.0	0.10059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3619|s__GGB3619_SGB4896|t__SGB4896	0.32816	0.0	0.03347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB33085|s__GGB33085_SGB1672|t__SGB1672	0.31669	0.56444	0.4642	0.34093	0.0	0.0	0.59237	0.64026	0.31241	0.28365	0.99202	0.0	0.0	0.0	0.01707	0.37913	0.0	0.09058	0.40628	0.0	0.0	0.77465	0.80255	0.12038	0.36374	0.61717	0.0	0.32638	0.0	0.65705	0.0	1.00436	0.0	0.0	0.0	0.1237	0.0	0.0	0.81274	0.0	0.0	0.0	0.55855	0.28182	0.0	0.0	0.32156	0.30205	0.0	0.47542	0.95234	1.31696	0.0	0.0	0.79941	0.0	0.23592	0.41879	0.01692	0.0	0.46162	0.0	0.0	2.08467	0.83626	0.0	0.1483	0.57985	0.5714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06295	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_BSD2780120874_150323_B10|t__SGB4290	0.29195	0.0	0.0	0.28991	0.0	0.0	0.00606	0.30964	0.0	0.0	0.0	0.0	0.0	0.0	0.02039	0.0	0.0	0.06297	0.2257	0.0	0.0	0.0	0.0	0.14008	0.0	0.0	0.0	0.0	0.0	0.2025	0.0	0.0	0.19226	0.0	0.0	0.0	0.0	0.0	0.59878	0.0	0.0	0.0	0.0	0.0	0.0	0.00621	0.0	0.00546	0.73924	0.0	0.0	0.0	0.0	1.76103	0.40545	0.02951	0.21356	0.06539	0.22064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei|t__SGB1815	0.27887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581|f__FGB9581|g__GGB9581|s__GGB9581_SGB4365|t__SGB4365	0.25516	0.0	0.10006	0.0	0.0	0.0	0.0	0.02517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02606	0.0	0.24886	0.04302	0.0	0.39284	0.0	0.0	0.0	0.13352	0.0	0.0	0.0	0.31281	0.06048	0.0	0.00248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00677	0.02722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77839	0.0	0.0	0.0	0.02058	0.0	0.01686	0.0	0.0	0.03118	0.0	0.0	0.06985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_ER4|t__SGB15254	0.25239	0.66923	0.60002	0.40716	0.0	0.00979	0.25481	0.51913	0.41303	0.45421	0.01837	0.0	0.0	0.79473	0.04319	0.39469	0.0	0.27768	0.49582	0.24446	0.09563	0.93206	0.12486	0.05435	0.99703	0.0	0.0	0.0245	0.20132	0.24156	0.0	0.06226	0.12011	0.25461	0.0	0.06933	0.0	0.0	0.03982	0.0	0.0	0.21195	0.13077	0.0	0.0	0.05049	0.21953	0.05962	0.0159	0.02004	0.10624	0.00762	0.00187	0.26212	0.11671	0.03758	0.12325	0.30501	0.17134	0.01818	0.0	0.00208	0.53285	0.02393	0.48833	0.37263	0.16548	0.27695	0.05619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AF02_12|t__SGB4938	0.24857	0.011	0.02666	0.46937	0.0	0.0	0.00139	0.14157	0.03226	0.0	0.0	0.0	0.0	0.0	0.21838	1.78613	0.0	0.0	0.07744	2.01769	0.0	0.0	0.0	0.0	0.04627	0.0	0.0	0.03377	0.0	0.0149	0.0	0.0	2.03994	0.0	0.0	0.0	0.0	0.0	1.05561	0.0	0.0	0.08067	0.0	0.0	0.0	0.0	2.88284	0.03669	0.02234	0.0	0.00095	0.0119	0.04732	0.0	0.02153	0.71143	0.08752	0.01296	0.0	0.32466	1.25612	0.42665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_SGB6486|t__SGB6486	0.24306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bromii|t__SGB4285	0.2336	0.07077	0.06754	1.06911	0.0	0.0	0.08238	0.20279	1.23467	0.87284	0.0	0.0	0.0	0.13744	0.0	0.08541	0.0	0.15553	0.09369	1.72315	0.25768	0.0	0.02469	0.0	0.26604	0.0	0.0	0.43581	2.86506	0.06325	0.0	0.0	0.53748	0.00442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32748	0.02599	0.0	0.0	0.78162	0.05443	0.00876	0.0	0.0	0.02072	0.05746	0.61471	0.52813	0.0	2.13797	1.15875	1.5851	0.25922	0.04663	0.0	1.20249	0.69747	0.04072	0.0	1.30857	0.07087	0.46312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3616|s__GGB3616_SGB4890|t__SGB4890	0.21935	0.0	0.02713	0.0	0.0	0.0	0.0162	0.00952	0.04254	0.0	0.0	0.0	0.0	0.0	0.04657	0.0	0.0	0.0	0.0	0.11824	0.02878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16126	0.0	0.0	0.05201	0.0	0.0	0.0	0.0	0.0	0.02394	0.0	0.0	0.30535	0.1518	0.0	0.0	0.0	0.0	0.0	0.00605	0.0	0.0	0.01095	0.0	0.01006	0.00775	0.0	0.0	0.03354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01809	0.06499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus_sp_AM29_23AC|t__SGB14991	0.21683	0.22865	0.34332	0.06204	0.20236	0.0	0.0033	0.0	0.0	0.0	0.01098	0.0	0.0	1.54459	0.0272	0.23831	0.0	0.23518	0.24723	0.26366	0.0	0.19732	0.0	0.09702	0.36641	0.0	0.0	0.00439	0.0889	0.03419	0.0	0.0	0.11811	0.0	0.0	0.09034	0.0	0.0	0.25838	0.0	0.0	0.04007	0.00051	0.0	0.0	0.15018	0.07322	0.08042	0.00216	0.00872	0.27096	0.01272	0.0675	0.0108	0.19148	0.36932	0.03394	0.00985	0.05292	0.08196	0.04863	0.57901	0.16694	0.03899	0.03846	0.05148	0.0	0.07091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10325|o__OFGB10325|f__FGB10325|g__GGB4669|s__GGB4669_SGB6458|t__SGB6458	0.21643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03186	0.01754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00811	0.0	0.0	0.74212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB4678|s__GGB4678_SGB6468|t__SGB6468	0.20899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1355|o__OFGB1355|f__FGB1355|g__GGB3306|s__GGB3306_SGB4371|t__SGB4371	0.20717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__GGB9785|s__GGB9785_SGB15408|t__SGB15408	0.20663	0.09707	0.46384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15815	0.0	0.0	0.0	0.00147	0.0	0.0	0.0	0.00976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB9747|s__GGB9747_SGB15356|t__SGB15356	0.20597	0.02065	0.24399	0.06366	0.0	0.01254	0.01668	0.0	0.0	0.02554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04972	0.01782	0.00345	0.01929	0.05303	0.02215	0.0	0.0	0.0	0.0	0.0	0.00264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06358	0.0	0.0	0.0	0.0	0.0	0.01989	0.0	0.0	0.0	0.14563	0.0	0.06062	0.0	0.0	0.0	0.0	0.04411	0.02281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB9080|s__GGB9080_SGB14004|t__SGB14004	0.20217	0.0	0.0	0.0	0.0	0.0	0.34632	0.69659	0.0342	0.0	0.0	0.0	0.0	0.0	0.08558	0.01858	0.0	0.00347	0.0	0.0	0.09549	0.21233	0.34515	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212	0.0	0.0	0.0	0.0	0.0	0.00249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06634	0.04376	0.0	0.15538	0.0	0.01929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9591|s__GGB9591_SGB15013|t__SGB15013	0.19639	0.36224	0.04932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01608	0.13214	0.08877	0.0	0.0	0.0	0.0	0.01276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1243|s__GGB1243_SGB1664|t__SGB1664	0.19507	0.0	0.09846	0.0	0.0	0.0	0.0	0.0	0.02055	0.0	0.0	0.0	0.0	0.0	0.0919	0.12775	0.0	0.0	0.08381	0.0	0.0	0.0	0.03254	0.09326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0	0.0	0.0	0.0	0.0	0.0271	0.0	0.0	0.1701	0.04703	0.0	0.0	0.03224	0.20035	0.0	0.0	0.0	0.7086	0.17934	0.39332	0.21883	0.08096	0.47043	0.0	0.0	0.0	0.0	0.0	0.0	0.09329	0.04764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_kerstersii|t__SGB12676	0.18866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__CFGB26673|o__OFGB26673|f__FGB26673|g__GGB12293|s__GGB12293_SGB19125|t__SGB19125	0.17065	0.0	0.01133	0.0	0.0	0.0	0.0	0.0	0.02278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__SGB1790	0.16987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02862	0.0	0.0	0.0	0.0	0.0	0.03525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02712	0.0	0.0	0.02934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251|f__FGB58251|g__GGB9762|s__GGB9762_SGB15377|t__SGB15377	0.16922	0.00241	0.12825	0.00678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71225	0.0	0.0	0.0	0.23459	0.05428	0.11995	0.1802	0.25488	0.0	0.0	0.03941	0.0	0.0	0.0	0.00791	0.13575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03335	0.0046	0.00126	0.0	0.0	0.0	0.0	0.11177	0.1064	0.0	0.0	0.02066	0.0	0.0	0.0	0.0	0.20046	0.0	0.0	0.03276	0.0	0.04151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
