Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HUM0853_S48_R1_001_kneaddata_paired_2	37.10827025	48	138.5181925	27.27272727	10331851
HUM0894_S23_R1_001_kneaddata_paired_1	27.59797821	46	147.6435842	9.090909091	6936112
HUM0894_S23_R1_001_kneaddata_paired_2	27.33779433	46	147.2183581	18.18181818	6936112
HUM0896_S30_R1_001_kneaddata_paired_1	25.77164447	45	146.541206	9.090909091	8407445
HUM0896_S30_R1_001_kneaddata_paired_2	25.45434737	45	146.359426	18.18181818	8407445
HUM0898_S38_R1_001_kneaddata_paired_1	27.02300738	46	146.9711137	9.090909091	8721331
HUM0898_S38_R1_001_kneaddata_paired_2	26.97792673	46	146.7659384	18.18181818	8721331
HUM0929_S35_R1_001_kneaddata_paired_1	13.20858056	44	147.7595618	9.090909091	10955
HUM0929_S35_R1_001_kneaddata_paired_2	12.97124601	44	146.7857599	9.090909091	10955
HUM0931_S40_R1_001_kneaddata_paired_1	23.61110079	45	147.2542567	9.090909091	8218217
HUM0931_S40_R1_001_kneaddata_paired_2	23.4431196	45	147.0190714	18.18181818	8218217
HUM0932_S19_R1_001_kneaddata_paired_1	10.67635551	44	145.7529346	9.090909091	1789
HUM0932_S19_R1_001_kneaddata_paired_2	10.67635551	44	144.4460593	9.090909091	1789
HUM0941_S3_R1_001_kneaddata_paired_1	15.20724486	45	145.456078	9.090909091	14355
HUM0941_S3_R1_001_kneaddata_paired_2	14.97039359	45	144.4314873	9.090909091	14355
HUM0946_S8_R1_001_kneaddata_paired_1	24.79226287	45	145.8002427	9.090909091	9112117
HUM0946_S8_R1_001_kneaddata_paired_2	24.7203932	45	145.7160186	18.18181818	9112117
HUM0947_S26_R1_001_kneaddata_paired_1	0	0	0	0	0
HUM0947_S26_R1_001_kneaddata_paired_2	0	0	0	0	0
HUM0991_S11_R1_001_kneaddata_paired_1	16.34532374	46	146.8257842	9.090909091	17375
HUM0991_S11_R1_001_kneaddata_paired_2	16.18992806	46	146.0425899	9.090909091	17375
HUM0992_S15_R1_001_kneaddata_paired_1	16.31238095	48	147.1428571	9.090909091	13125
HUM0992_S15_R1_001_kneaddata_paired_2	16.09904762	48	146.5017905	9.090909091	13125
HUM0994_S9_R1_001_kneaddata_paired_1	22.61878852	46	143.0742321	9.090909091	9308415
HUM0994_S9_R1_001_kneaddata_paired_2	22.73201059	47	143.0740241	18.18181818	9308415
HUM1014_S22_R1_001_kneaddata_paired_1	20.02204448	45	146.0044553	9.090909091	7077827
HUM1014_S22_R1_001_kneaddata_paired_2	19.93787984	45	145.650326	18.18181818	7077827
